date,yhat,yhat_lower,yhat_upper
2023-12-01,45951643.07668217,44784782.28087892,47118941.95638353
2024-01-01,46478126.34404097,45339541.485075034,47572540.53191617
2024-02-01,46406451.62648373,45164584.45999369,47526651.153602704
2024-03-01,47725339.82305174,46526025.89784329,48841831.60734373
2024-04-01,46528301.38567109,45296742.71416932,47754960.75489811
2024-05-01,44800704.73493013,43498122.16088759,46027257.4260506
2024-06-01,44461639.921119004,43251962.758642584,45643258.62460677
2024-07-01,44917412.251759484,43670781.45554824,46187232.6228727
2024-08-01,45719806.34091171,44505244.436098,46945725.69049113
2024-09-01,46658473.61139648,45342464.82925701,47920656.13771941
2024-10-01,47472295.62458225,46161015.26376148,48798341.80871846
2024-11-01,46971858.55738121,45705658.69417091,48266588.05337558
2024-12-01,47604957.166721195,46197244.48273223,49014061.435946785
2025-01-01,48579258.77510102,47202108.14638036,49993254.73315845
2025-02-01,47639779.210200965,46235693.30962918,49095166.79959717
2025-03-01,49024002.70311726,47581212.665135935,50470078.83894457
2025-04-01,47921608.50843646,46521251.31930747,49472741.32540358
2025-05-01,46792224.340835184,45401797.09089748,48349833.68949656
2025-06-01,46099980.75206837,44690286.0992079,47624416.12711717
2025-07-01,46367486.77889649,44859816.60595591,47917942.97206377
2025-08-01,47086885.276351914,45539596.55139626,48657876.3039821
2025-09-01,47924749.83622852,46389021.861970834,49508920.197546445
2025-10-01,49028994.03154948,47320306.64673107,50652956.27001884
2025-11-01,48958377.6808882,47321601.24515518,50644534.66675254
2025-12-01,49113668.90426418,47453987.11646223,50687601.24247843
2026-01-01,49931970.531663,48288491.49775023,51713967.01395399
2026-02-01,49280844.484389916,47672846.85459398,51095232.00137285
2026-03-01,50322628.916767076,48566692.24384409,52159850.97775899
2026-04-01,49325162.61506783,47502879.52812152,51189113.891109325
2026-05-01,48787115.80793917,46935411.88527096,50651447.14052988
2026-06-01,47730532.67237119,45904748.5460697,49637392.17667757
2026-07-01,47810758.873110004,45935153.90200821,49648650.548732996
2026-08-01,48450981.67027782,46562759.92163098,50412490.72537915
2026-09-01,49195817.23587385,47202110.06073136,51239455.20055306
2026-10-01,50596518.31045361,48572539.41114239,52651636.60060969
2026-11-01,50945552.98907281,48836456.74184133,53027589.07753698
2026-12-01,50613503.86667493,48505924.65808105,52609088.65315509
2027-01-01,51282453.79434126,49146611.462611645,53472821.20634089
2027-02-01,50920660.50460448,48797435.06124793,53049664.64464707
2027-03-01,51621523.81112125,49400254.12614152,53764190.34073455
2027-04-01,50739076.84604926,48519933.72915583,53069831.29577923
2027-05-01,50784841.90212867,48563280.88187203,53026058.4491957
2027-06-01,49353069.44542833,47075013.09912312,51743966.60620774
2027-07-01,49247371.89361118,46834885.91489742,51522209.44251599
2027-08-01,49812412.06603184,47389058.70027694,52218890.92947788
2027-09-01,50472036.12243441,47984058.48828638,52851134.58565873
2027-10-01,52174757.61728718,49693154.60781815,54642188.3939179
2027-11-01,52932841.17036631,50386465.37057539,55537585.3096342
2027-12-01,52104421.202300675,49517719.4831302,54667487.26597321
2028-01-01,52630904.46965834,50030875.4784344,55335325.053052634
2028-02-01,52559229.752100945,49922645.04489893,55300635.96758729
2028-03-01,53878117.94866841,51095991.26399206,56535083.961702235
2028-04-01,52681079.51128848,49882935.197038785,55557269.57854052
2028-05-01,50953482.860548265,48130837.14272916,53659254.23179116
2028-06-01,50614418.04673648,47716802.65207738,53514874.57491666
2028-07-01,51070190.37737756,48182303.58435401,53880216.29480176
2028-08-01,51872584.46653064,48959329.106803656,54737823.4508207
2028-09-01,52811251.737012595,49812694.80415095,55825649.83023985
2028-10-01,53625073.7502007,50521317.505525894,56496900.838572234
2028-11-01,53124636.68300525,49870191.605183676,56196692.14003309
2028-12-01,53757735.29233925,50550346.05891969,56807296.25878995
2029-01-01,54732036.900719695,51399450.018231526,57970338.304376364
2029-02-01,53792557.335819036,50432970.642730184,56914761.528184265
2029-03-01,55176780.828737624,51834829.20416363,58409645.17826895
2029-04-01,54074386.634054914,50681357.96987534,57446379.80904843
2029-05-01,52945002.466457106,49480185.41799709,56457651.020162925
2029-06-01,52252758.87768705,48844055.07934149,55602985.95001823
2029-07-01,52520264.90451631,48978440.55155817,55979556.08702892
2029-08-01,53239663.401969686,49538876.330980174,56822050.78099688
2029-09-01,54077527.96184945,50526670.97733074,57614198.13296523
2029-10-01,55181772.15716918,51427067.65472403,58979375.37188347
2029-11-01,55111155.80651044,51415894.23225067,58844467.01919792
2029-12-01,55266447.029883064,51525222.82497257,58760371.341918536
2030-01-01,56084748.657282315,52281651.245842464,59974542.36746908
2030-02-01,55433622.610013545,51342633.35222917,59234001.13591137
2030-03-01,56475407.04238361,52516330.92708879,60390552.30588514
2030-04-01,55477940.74068661,51500312.55464484,59259889.431818895
2030-05-01,54939893.93355389,50986701.3051487,58937104.35177082
2030-06-01,53883310.79798879,49637320.824969776,57854872.50013072
2030-07-01,53963536.998727426,49508404.56278623,58047902.214166045
2030-08-01,54603759.79589509,50303721.06084865,58873469.57227005
2030-09-01,55348595.361493,50943022.15321021,59502154.58352034
2030-10-01,56749296.43607286,52477307.89436263,60940969.095974356
2030-11-01,57098331.11468921,52527919.49987561,61482965.496351145
2030-12-01,56766281.99229159,52148207.976044334,61150195.15454143
2031-01-01,57435231.91995901,52772258.23629029,61772206.07601709
2031-02-01,57073438.630223386,52328461.81676309,61671964.962256856
2031-03-01,57774301.93674144,53101566.14882663,62538564.01070916
2031-04-01,56891854.971667975,51994467.03811272,61430214.4324198
2031-05-01,56937620.02775428,52018257.25329891,61631261.528314754
2031-06-01,55505847.57104743,50667326.21824061,60310592.55172901
2031-07-01,55400150.01922972,50367676.90851789,60233028.693586275
2031-08-01,55965190.191650994,51116351.09214347,60826543.399799526
2031-09-01,56624814.248051986,51418383.52167973,61751737.77823682
2031-10-01,58327535.742906675,53211861.506011866,63492855.64126476
2031-11-01,59085619.295986906,53955499.45165276,64409559.41287344
2031-12-01,58257199.32791907,53078312.39810241,63390668.89872242
2032-01-01,58783682.59527682,53371156.745052435,64028356.05101696
2032-02-01,58712007.87771888,53400158.91106633,64154034.71569875
2032-03-01,60030896.07428942,54436867.546382844,65463666.12186919
2032-04-01,58833857.63690883,53432012.992677055,64226795.25854668
2032-05-01,57106260.98617385,51538411.72148961,62760043.61199226
