date,yhat,yhat_lower,yhat_upper
2023-12-01,44248992.07070285,43051663.44525876,45336028.95794726
2024-01-01,44545866.09517354,43416484.256229945,45641986.09856521
2024-02-01,44715167.47001398,43513373.16246134,45853881.5332873
2024-03-01,45085679.19380704,43791700.05677006,46415088.878746666
2024-04-01,45044804.546393566,43694304.70698129,46353711.267188825
2024-05-01,44583791.160822086,43238607.16565981,45920389.01478493
2024-06-01,44124200.732138455,42713414.95155704,45546305.11907272
2024-07-01,43920738.9821091,42462132.93375807,45478292.44956034
2024-08-01,43993372.13625554,42418750.78592454,45583931.954223335
2024-09-01,44297031.770608574,42663752.325972684,45855201.4455294
2024-10-01,44734980.69368135,43009757.99288595,46351418.30505143
2024-11-01,44952737.6862759,43158409.64068345,46660162.84171439
2024-12-01,45236716.1055896,43421133.510171786,47013244.4898486
2025-01-01,45641706.20200118,43712714.61282181,47578811.56716349
2025-02-01,45810935.374040134,43818408.08645848,47674012.153737776
2025-03-01,46120070.406205975,44110979.04403329,48136122.10093986
2025-04-01,46083047.50835049,44040134.303519085,48054594.48361162
2025-05-01,45730842.76853122,43540384.15613722,47879500.352567784
2025-06-01,45273446.16214396,43092666.859775305,47490573.4386948
2025-07-01,45017203.56904139,42723365.05702464,47404382.25604963
2025-08-01,45065248.64355682,42739765.80759364,47436589.6172372
2025-09-01,45300602.74728168,42792916.14814343,47788903.999900416
2025-10-01,45776206.67613005,43221584.22859913,48336331.1426341
2025-11-01,46117578.60992189,43486052.762719505,48752671.22292742
2025-12-01,46357084.59095565,43600102.57433507,49121796.736428164
2026-01-01,46726294.68680705,43983777.11330925,49598772.626504265
2026-02-01,46895437.45953407,44016019.700743414,49658936.515930474
2026-03-01,47154279.525352985,44233096.415361606,50106462.62448234
2026-04-01,47123201.07962242,44138919.75004439,50135908.63100788
2026-05-01,46879694.65974456,43824252.8149289,50045529.43013765
2026-06-01,46422170.934029154,43282187.5950509,49618259.07587833
2026-07-01,46111896.51876329,42880108.919266745,49536953.19715585
2026-08-01,46135297.81910743,42806619.14667717,49539045.57235548
2026-09-01,46303981.71740912,42879358.14781837,49723606.74486997
2026-10-01,46820076.64501985,43309459.6544146,50348346.57540139
2026-11-01,47284076.15939488,43684292.25451332,50923772.70516682
2026-12-01,47476432.50954686,43819511.66582619,51117979.57307801
2027-01-01,47809585.0524817,44031703.08137711,51462619.47918577
2027-02-01,47978743.17345288,44213547.96597929,51874131.466161184
2027-03-01,48188387.02085614,44258268.41402072,52181484.46008225
2027-04-01,48165322.872172594,44031980.6929419,52307519.000314936
2027-05-01,48030268.1601959,43839799.99710661,52056545.873782344
2027-06-01,47570281.00713539,43364656.876069956,51794432.762308046
2027-07-01,47204798.12823615,42947537.92216159,51486219.386490926
2027-08-01,47203561.99501313,42772558.69282127,51631307.72793096
2027-09-01,47307283.1622187,42872788.845665544,51739431.445816465
2027-10-01,47866634.37241864,43433457.12662392,52355235.236070305
2027-11-01,48452133.55939342,43824496.73680932,53188589.75978113
2027-12-01,48594691.09293379,43817901.10535081,53510658.677177005
2028-01-01,48891565.11740425,44074676.30081827,53728274.008274145
2028-02-01,49060866.492244475,44022185.62207203,54003540.53448894
2028-03-01,49431378.216037184,44386470.68138937,54523881.30079776
2028-04-01,49390503.56862397,44243967.396739244,54630069.24823043
2028-05-01,48929490.18305277,43457149.53526173,54183711.461244166
2028-06-01,48469899.75436886,43220406.16694579,53866052.59722261
2028-07-01,48266438.004339635,42711994.49037927,53796038.80015205
2028-08-01,48339071.15848625,42833101.96569071,53862024.61900049
2028-09-01,48642730.792838454,42967911.38958292,54346846.296318546
2028-10-01,49080679.71591236,43293524.462917276,54891705.102469236
2028-11-01,49298436.70850749,43538002.929879926,55249680.23174266
2028-12-01,49582415.127820134,43734512.31815301,55500118.59504694
2029-01-01,49987405.224232085,44010277.02466582,56036291.46914063
2029-02-01,50156634.396270655,44072155.032752335,56471603.5285157
2029-03-01,50465769.428436995,44188856.20947717,56791885.883840464
2029-04-01,50428746.530581385,44080586.109067254,56928672.17553189
2029-05-01,50076541.790762424,43599688.74873081,56769181.574073486
2029-06-01,49619145.18437503,42935433.54339901,56362149.735663034
2029-07-01,49362902.5912719,42604206.58323963,56165499.91851431
2029-08-01,49410947.665787324,42765891.1903429,56332972.85666609
2029-09-01,49646301.76951315,42846176.45313126,56629489.01589476
2029-10-01,50121905.69836088,43286605.39027104,57266893.032599255
2029-11-01,50463277.632153206,43461730.61100094,57786192.8857606
2029-12-01,50702783.61318586,43572401.82224729,58010355.70451294
2030-01-01,51071993.709037736,43772763.43805899,58582477.26521738
2030-02-01,51241136.481765084,43747020.407961845,58933588.94221696
2030-03-01,51499978.54758294,43931169.52289746,59281798.907792255
2030-04-01,51468900.101852745,43847045.35710257,59366968.30966075
2030-05-01,51225393.681974396,43506206.61538341,59421302.15591958
2030-06-01,50767869.95625957,42674885.276449196,58825181.06885396
2030-07-01,50457595.540993825,42353940.4325431,58855474.068015434
2030-08-01,50480996.841338,42276451.56976613,58904557.153242245
2030-09-01,50649680.739640154,42345471.48972979,59298989.14489023
2030-10-01,51165775.66725044,42656655.11278354,59945353.14115935
2030-11-01,51629775.18162508,43133896.75305485,60466282.273072526
2030-12-01,51822131.53177684,43356868.85185675,60828536.80101006
2031-01-01,52155284.07471217,43386459.0044336,61173791.68158476
2031-02-01,52324442.19568338,43480851.37833947,61098323.04176306
2031-03-01,52534086.0430872,43645390.69847277,61897227.898015745
2031-04-01,52511021.8944033,43290402.13732868,61721929.68260584
2031-05-01,52375967.182427555,43155166.82265631,61796587.114307575
2031-06-01,51915980.029366545,42402719.59679061,61512928.33292415
2031-07-01,51550497.150466815,42165572.25226303,61225579.06394637
2031-08-01,51549261.01724386,41952917.35489072,61490632.98894269
2031-09-01,51652982.18444909,41916179.327305436,61554510.10369982
2031-10-01,52212333.39464849,42339030.565726206,62265402.2386238
2031-11-01,52797832.581624396,42972132.22129118,63073141.67639675
2031-12-01,52940390.115163974,42747939.188495114,63316236.13900693
2032-01-01,53237264.139635056,43160623.1630685,63915631.00106643
2032-02-01,53406565.514475204,43130666.01898263,64133554.26028241
2032-03-01,53777077.238268405,43334285.52956718,64555544.70516558
2032-04-01,53736202.59085461,43302458.17193859,64618900.42945286
2032-05-01,53275189.20528423,42465510.85723223,64298302.649896026
2032-06-01,52815598.77659955,41868367.73429437,64044025.47845779
2032-07-01,52612137.02657035,41700195.098081775,63712753.07775325
2032-08-01,52684770.18071684,41448041.07632381,64130189.5186189
2032-09-01,52988429.815069795,41904142.928285405,64350230.33280346
2032-10-01,53426378.73814177,42067952.58782205,64948396.95001541
2032-11-01,53644135.73073727,42356163.10325114,65462264.371703885
2032-12-01,53928114.15005062,42361594.74525371,65851932.52929939
2033-01-01,54333104.2464625,42732026.7190132,66488328.32601657
2033-02-01,54502333.41850131,42707975.0244769,66853579.076763324
2033-03-01,54811468.45066732,42860153.65446344,67053400.74708905
2033-04-01,54774445.55281104,42868082.81722771,67255256.32444118
2033-05-01,54422240.8129925,42237330.36833932,66683624.119596615
2033-06-01,53964844.206604935,41829075.62257902,66379105.26753234
2033-07-01,53708601.613502614,41459793.71358289,66477391.404789954
2033-08-01,53756646.68801741,41405735.49632864,66533354.84544421
2033-09-01,53992000.7917421,41457244.0024969,67023445.931306176
2033-10-01,54467604.720591635,41757847.33833938,67572796.03263573
2033-11-01,54808976.65438309,42036779.84587017,67935602.16562644
