date,predicted
2023-12-01,41712927.65655648
2024-01-01,42297722.18536366
2024-02-01,42020830.32293098
2024-03-01,42744063.53621263
2024-04-01,41768124.20251664
2024-05-01,40961494.67550861
2024-06-01,40168931.12285373
2024-07-01,40190530.91204223
2024-08-01,40776775.3407107
2024-09-01,41194886.47724793
2024-10-01,42065969.785871245
2024-11-01,42067106.372500025
2024-12-01,41712927.65655648
2025-01-01,42297722.18536366
2025-02-01,42020830.32293098
2025-03-01,42744063.53621263
2025-04-01,41768124.20251664
2025-05-01,40961494.67550861
2025-06-01,40168931.12285373
2025-07-01,40190530.91204223
2025-08-01,40776775.3407107
2025-09-01,41194886.47724793
2025-10-01,42065969.785871245
2025-11-01,42067106.372500025
2025-12-01,41712927.65655648
2026-01-01,42297722.18536366
2026-02-01,42020830.32293098
2026-03-01,42744063.53621263
2026-04-01,41768124.20251664
2026-05-01,40961494.67550861
2026-06-01,40168931.12285373
2026-07-01,40190530.91204223
2026-08-01,40776775.3407107
2026-09-01,41194886.47724793
2026-10-01,42065969.785871245
2026-11-01,42067106.372500025
2026-12-01,41712927.65655648
2027-01-01,42297722.18536366
2027-02-01,42020830.32293098
2027-03-01,42744063.53621263
2027-04-01,41768124.20251664
2027-05-01,40961494.67550861
2027-06-01,40168931.12285373
2027-07-01,40190530.91204223
2027-08-01,40776775.3407107
2027-09-01,41194886.47724793
2027-10-01,42065969.785871245
2027-11-01,42067106.372500025
2027-12-01,41712927.65655648
2028-01-01,42297722.18536366
2028-02-01,42020830.32293098
2028-03-01,42744063.53621263
2028-04-01,41768124.20251664
2028-05-01,40961494.67550861
2028-06-01,40168931.12285373
2028-07-01,40190530.91204223
2028-08-01,40776775.3407107
2028-09-01,41194886.47724793
2028-10-01,42065969.785871245
2028-11-01,42067106.372500025
2028-12-01,41712927.65655648
2029-01-01,42297722.18536366
2029-02-01,42020830.32293098
2029-03-01,42744063.53621263
2029-04-01,41768124.20251664
2029-05-01,40961494.67550861
2029-06-01,40168931.12285373
2029-07-01,40190530.91204223
2029-08-01,40776775.3407107
2029-09-01,41194886.47724793
2029-10-01,42065969.785871245
2029-11-01,42067106.372500025
2029-12-01,41712927.65655648
2030-01-01,42297722.18536366
2030-02-01,42020830.32293098
2030-03-01,42744063.53621263
2030-04-01,41768124.20251664
2030-05-01,40961494.67550861
2030-06-01,40168931.12285373
2030-07-01,40190530.91204223
2030-08-01,40776775.3407107
2030-09-01,41194886.47724793
2030-10-01,42065969.785871245
2030-11-01,42067106.372500025
2030-12-01,41712927.65655648
2031-01-01,42297722.18536366
2031-02-01,42020830.32293098
2031-03-01,42744063.53621263
2031-04-01,41768124.20251664
2031-05-01,40961494.67550861
2031-06-01,40168931.12285373
2031-07-01,40190530.91204223
2031-08-01,40776775.3407107
2031-09-01,41194886.47724793
2031-10-01,42065969.785871245
2031-11-01,42067106.372500025
2031-12-01,41712927.65655648
2032-01-01,42297722.18536366
2032-02-01,42020830.32293098
2032-03-01,42744063.53621263
2032-04-01,41768124.20251664
2032-05-01,40961494.67550861
2032-06-01,40168931.12285373
2032-07-01,40190530.91204223
2032-08-01,40776775.3407107
2032-09-01,41194886.47724793
2032-10-01,42065969.785871245
2032-11-01,42067106.372500025
2032-12-01,41712927.65655648
2033-01-01,42297722.18536366
2033-02-01,42020830.32293098
2033-03-01,42744063.53621263
2033-04-01,41768124.20251664
2033-05-01,40961494.67550861
2033-06-01,40168931.12285373
2033-07-01,40190530.91204223
2033-08-01,40776775.3407107
2033-09-01,41194886.47724793
2033-10-01,42065969.785871245
2033-11-01,42067106.372500025
