dates,predicted_mean
2023-12-01,46045535.96935925
2024-01-01,46795875.083547205
2024-02-01,45652517.41412676
2024-03-01,47264185.40146568
2024-04-01,46355109.241765395
2024-05-01,44969410.010287054
2024-06-01,44537250.14134371
2024-07-01,44466765.54482774
2024-08-01,45006800.00454039
2024-09-01,45890880.95602573
2024-10-01,46451081.255145274
2024-11-01,46083733.38187335
2024-12-01,48036082.5025917
2025-01-01,48746285.91342908
2025-02-01,47694072.686261155
2025-03-01,49195475.9996907
2025-04-01,48307079.745494954
2025-05-01,47016847.262955286
2025-06-01,46570544.58771726
2025-07-01,46532641.593034886
2025-08-01,47038007.083865605
2025-09-01,47889713.24753613
2025-10-01,48433594.2830359
2025-11-01,48137551.26068154
2025-12-01,50251414.31454399
2026-01-01,50930301.31889782
2026-02-01,49949203.32904843
2026-03-01,51364573.206389435
2026-04-01,50492312.655374855
2026-05-01,49276566.813950054
2026-06-01,48819229.60199604
2026-07-01,48806747.884154744
2026-08-01,49285063.407337084
2026-09-01,50111509.36271742
2026-10-01,50642657.54227759
2026-11-01,50402249.34094558
2026-12-01,52642132.047897115
2027-01-01,53296584.707084246
2027-02-01,52370973.686722904
2027-03-01,53719216.82838891
2027-04-01,52859546.012470245
2027-05-01,51701917.602643
2027-06-01,51235970.81540501
2027-07-01,51243323.78285988
2027-08-01,51700533.849541225
2027-09-01,52507270.77984431
2027-10-01,53028484.28137029
2027-11-01,52831484.58092212
2027-12-01,55169692.84288701
2028-01-01,55805080.851186186
2028-02-01,54922762.975767024
2028-03-01,56218631.16353778
2028-04-01,55368783.361096896
2028-05-01,54256500.48586554
2028-06-01,53783836.16544113
2028-07-01,53806664.94413345
2028-08-01,54247407.69319433
2028-09-01,55038766.85689127
2028-10-01,55552228.92702402
2028-11-01,55389098.26794272
2028-12-01,57804024.0445858
2029-01-01,58424537.052804336
2029-02-01,57575998.213600494
2029-03-01,58831001.37606807
2029-04-01,57988817.88004726
2029-05-01,56911915.397124656
2029-06-01,56434009.789746106
2029-07-01,56468913.41279805
2029-08-01,56896807.70472198
2029-09-01,57676168.52236691
2029-10-01,58183582.61697118
2029-11-01,58046877.93305747
2029-12-01,60521661.77052583
2030-01-01,61130568.711166725
2030-02-01,60308385.621532105
2030-03-01,61531504.26349008
2030-04-01,60695300.76462974
2030-05-01,59646003.47308419
2030-06-01,59164008.404849745
2030-07-01,59208333.30244493
2030-08-01,59626202.71632151
2030-09-01,60396201.946449175
2030-10-01,60898897.16963878
2030-11-01,60782811.084170155
2030-12-01,63304298.56500614
2031-01-01,63904149.9894212
2031-02-01,63102530.70542274
2031-03-01,64300771.77443068
2031-04-01,63469234.10755477
2031-05-01,62441475.485912465
2031-06-01,61956289.65742377
2031-07-01,62007965.40869292
2031-08-01,62418013.01339845
2031-09-01,63180707.960047275
2031-10-01,63679721.331793524
2031-11-01,63579722.69812736
2031-12-01,66137650.22185367
2032-01-01,66730436.17180314
2032-02-01,65944861.5880751
2032-03-01,67123692.18372509
2032-04-01,66295794.98481638
2032-05-01,65284841.6913772
2032-06-01,64797166.304641366
2032-07-01,64854577.48475171
2032-08-01,65258522.20237775
2032-09-01,66015518.056106634
2032-10-01,66511658.70069847
2032-11-01,66424212.13773616
2032-12-01,69010571.6344329
2033-01-01,69597844.81976698
2033-02-01,68824788.95029457
2033-03-01,69988474.72145803
2033-04-01,69163417.96066722
2033-05-01,68165576.85369468
2033-06-01,67675959.01444845
2033-07-01,67737845.20459862
2033-08-01,68137028.20663044
2033-09-01,68889577.40105258
2033-10-01,69383476.6294899
2033-11-01,69305823.69207434
