date,predicted_mean
2023-12-01,42232619.61140898
2024-01-01,42863249.593843944
2024-02-01,42824204.27734642
2024-03-01,43447585.02986945
2024-04-01,43596212.164124876
2024-05-01,43144269.79063421
2024-06-01,42717640.99814495
2024-07-01,42331426.708080806
2024-08-01,42271228.42372795
2024-09-01,42543038.81565677
2024-10-01,42918185.23852128
2024-11-01,42971715.67544317
2024-12-01,43458106.06513853
2025-01-01,44082162.79260253
2025-02-01,44042050.93816013
2025-03-01,44662252.0386427
2025-04-01,44800314.46872835
2025-05-01,44337379.60339505
2025-06-01,43905385.919612944
2025-07-01,43525649.43872983
2025-08-01,43473250.81709118
2025-09-01,43750162.113008164
2025-10-01,44134190.362374075
2025-11-01,44188139.05209502
2025-12-01,44676731.61219805
2026-01-01,45304953.135773785
2026-02-01,45265513.11029795
2026-03-01,45887730.10544687
2026-04-01,46032499.26057022
2026-05-01,45576543.5383315
2026-06-01,45147955.91912262
2026-07-01,44764105.641877085
2026-08-01,44706754.0022685
2026-09-01,44980426.08714206
2026-10-01,45358814.28970685
2026-11-01,45412497.34304103
2026-12-01,45899691.495838545
2027-01-01,46525268.3536379
2027-02-01,46485401.70681408
2027-03-01,47106338.601223886
2027-04-01,47246848.97541851
2027-05-01,46786461.4877994
2027-06-01,46355711.01275606
2027-07-01,45974473.00005951
2027-08-01,45920266.53190636
2027-09-01,46195995.51911672
2027-10-01,46577965.15744594
2027-11-01,46631816.89009947
2027-12-01,47119899.03302218
2028-01-01,47747155.25645933
2028-02-01,47707559.51464306
2028-03-01,48329309.27441496
2028-04-01,48472523.979158156
2028-05-01,48014950.667406105
2028-06-01,47585573.60818455
2028-07-01,47202676.80463733
2028-08-01,47146473.14916473
2028-09-01,47420896.001138106
2028-10-01,47800591.42383429
2028-11-01,47854336.04493516
2028-12-01,48341854.31315576
2029-01-01,48968044.13757361
2029-02-01,48928276.37078082
2029-03-01,49549509.96015752
2029-04-01,49691007.41204057
2029-05-01,49231647.09553083
2029-06-01,48801397.91575827
2029-07-01,48419554.44621793
2029-08-01,48364619.00688052
2029-09-01,48639871.256159864
2029-10-01,49021010.808273755
2029-11-01,49074823.445327885
2029-12-01,49562699.77460187
2030-01-01,50189566.76356491
2030-02-01,50149908.23282061
2030-03-01,50771469.59096357
2030-04-01,50914057.50029355
2030-05-01,50455831.93376208
2030-06-01,50026136.55149456
2030-07-01,49643624.21370624
2030-08-01,49587883.45573402
2030-09-01,49862609.03681572
2030-10-01,50242831.56516774
2030-11-01,50296601.01201706
2030-12-01,50784249.97213001
2031-01-01,51410686.96086521
2031-02-01,51370959.065110475
2031-03-01,51992312.28972789
2031-04-01,52134207.75738479
2031-05-01,51675261.623374335
2031-06-01,51245214.57908459
2031-07-01,50863126.97336629
2031-08-01,50807897.593609154
2031-09-01,51082957.60957318
2031-10-01,51463762.449018314
2031-11-01,51517559.32169499
2031-12-01,52005352.66147421
2032-01-01,52632062.700825036
2032-02-01,52592378.85192789
2032-03-01,53213864.24156199
2032-04-01,53356199.41043966
2032-05-01,52897710.83756753
2032-06-01,52467887.09904704
2032-07-01,52085529.78799911
2032-08-01,52029975.68251534
2032-09-01,52304823.33196281
2032-10-01,52685258.40322606
2032-11-01,52739037.86047234
2032-12-01,53226739.519005336
2033-01-01,53853276.17091619
2033-02-01,53813564.352216244
2033-03-01,54434965.81692
2033-04-01,54577021.77504092
2033-05-01,54118242.65034483
2033-06-01,53688277.1124163
2033-07-01,53306091.06454806
2033-08-01,53250743.16025635
2033-09-01,53525725.662674405
2033-10-01,53906395.537138134
2033-11-01,53960186.05320178
