date,predicted
2023-12-01,41862575.5281407
2024-01-01,41983913.366725415
2024-02-01,41969589.05852643
2024-03-01,42239609.397989586
2024-04-01,42322662.4098638
2024-05-01,42052522.292913444
2024-06-01,41663691.12115613
2024-07-01,41400390.77212053
2024-08-01,41476014.433758944
2024-09-01,41676049.23002222
2024-10-01,42034254.19413413
2024-11-01,42306671.76843201
2024-12-01,42523779.55824581
2025-01-01,42647033.88349825
2025-02-01,42632483.328103766
2025-03-01,42906768.53981644
2025-04-01,42991133.343558945
2025-05-01,42716726.46251773
2025-06-01,42321753.84498076
2025-07-01,42054294.763480335
2025-08-01,42131112.873124294
2025-09-01,42334307.145644866
2025-10-01,42698169.825816676
2025-11-01,42974890.135809265
2025-12-01,43195427.06355309
2026-01-01,43320628.145677425
2026-02-01,43305847.76959595
2026-03-01,43584465.21565147
2026-04-01,43670162.53053381
2026-05-01,43391421.49342733
2026-06-01,42990210.42822674
2026-07-01,42718526.928607136
2026-08-01,42796558.35212491
2026-09-01,43002962.00367173
2026-10-01,43372571.761454016
2026-11-01,43653662.76727386
2026-12-01,43877682.9949239
2027-01-01,44004861.58223108
2027-02-01,43989847.755529135
2027-03-01,44272865.86198037
2027-04-01,44359916.734527394
2027-05-01,44076773.08494986
2027-06-01,43669225.03809235
2027-07-01,43393250.397218406
2027-08-01,43472514.29845772
2027-09-01,43682178.01999568
2027-10-01,44057625.62837193
2027-11-01,44343156.36355696
2027-12-01,44570714.90855796
2028-01-01,44699902.23501723
2028-02-01,44684651.27042787
2028-03-01,44972139.54409212
2028-04-01,45060565.35325081
2028-05-01,44772949.55355261
2028-06-01,44358964.43473659
2028-07-01,44078630.87560569
2028-08-01,44159146.721100226
2028-09-01,44372122.004239425
2028-10-01,44753499.66991912
2028-11-01,45043540.25836667
2028-12-01,45274693.00714374
2029-01-01,45405920.80005344
2029-02-01,45390428.952070676
2029-03-01,45682457.99759993
2029-04-01,45772280.4599899
2029-05-01,45480121.87419976
2029-06-01,45059598.012233995
2029-07-01,44774836.68733063
2029-08-01,44856624.251080826
2029-09-01,45072963.40072246
2029-10-01,45460364.78678624
2029-11-01,45754986.4599749
2029-12-01,45989790.18165876
2030-01-01,46123090.66943825
2030-02-01,46107354.13339722
2030-03-01,46403995.67061806
2030-04-01,46495236.84586497
2030-05-01,46198463.72234233
2030-06-01,45771297.84017644
2030-07-01,45482038.81456382
2030-08-01,45565118.18289321
2030-09-01,45784874.33007519
2030-10-01,46178394.57897773
2030-11-01,46477669.69346117
2030-12-01,46716182.05383012
2031-01-01,46851587.97393485
2031-02-01,46835602.8850774
2031-03-01,47136929.76660475
2031-04-01,47229612.06275795
2031-05-01,46928151.5165714
2031-06-01,46494238.70593186
2031-07-01,46200410.940076515
2031-08-01,46284802.51656475
2031-09-01,46508029.63151027
2031-10-01,46907765.38844641
2031-11-01,47211767.44362354
2031-12-01,47454047.01926571
2032-01-01,47591591.62622723
2032-02-01,47575354.05875276
2032-03-01,47881440.28788191
2032-04-01,47975586.46691768
2032-05-01,47669364.46194506
2032-06-01,47228598.1575706
2032-07-01,46930129.489895694
2032-08-01,47015854.000389464
2032-09-01,47242606.90576161
2032-10-01,47648656.34240161
2032-11-01,47957459.99856739
2032-12-01,48203566.291266635
2033-01-01,48343283.36485962
2033-02-01,48326789.33096096
2033-03-01,48637710.0798421
2033-04-01,48733343.26325378
2033-05-01,48422284.593999505
2033-06-01,47974556.547469676
2033-07-01,47671373.67663271
2033-08-01,47758452.17433587
2033-09-01,47988786.55870157
2033-10-01,48401249.39730122
2033-11-01,48714930.49398259
